hh_ids,trx_yr_mo,inc_hh_byti,inc_hh_byti_AGRI,inc_hh_byti_CITMPC,inc_hh_byti_NEINCG,inc_hh_byti_REI,inc_hh_byti_RIOI,inc_hh_byti_RR,inc_hh_byti_SEI
"KELDK10","2013_03",159.2941,0,0,0,0,11.76471,73.41177,74.11765
"KELDK10","2013_04",90.11765,0,0,0,0,0,20,70.11765
"KELDK10","2013_05",21.17647,0,0,0,0,0,16.23529,4.941178
"KELDK10","2013_06",169.3765,129.4118,0,0,0,0,34.4353,5.529413
"KELDK10","2013_07",33.76471,0,0,0,0,0,.2352941,33.52941
"KELDK10","2013_08",73.2353,0,0,0,0,0,47.94118,25.29412
"KELDK10","2013_09",112.2235,0,0,0,0,0,62.22353,50
"KELDK10","2013_10",10,0,0,0,0,0,0,10
"KELDK12","2012_10",2.352941,0,2.352941,0,0,0,0,0
"KELDK12","2012_11",90.70588,43.52941,47.17647,0,0,0,0,0
"KELDK12","2013_01",53.64706,17.64706,.7058824,0,35.29412,0,0,0
"KELDK12","2013_02",32.94118,0,32.94118,0,0,0,0,0
"KELDK12","2013_03",40.70589,0,40.70588,0,0,0,0,3.81e-06
"KELDK12","2013_04",17.64706,0,88.23529,0,0,0,0,-70.58823
"KELDK12","2013_05",58.82353,0,58.82353,0,0,0,0,0
"KELDK12","2013_06",-143.5294,0,44.70588,0,0,0,0,-188.2353
"KELDK12","2013_07",142.8235,113.4118,82.35294,0,0,0,0,-52.94118
"KELDK12","2013_08",78.82353,0,32.94118,0,0,0,0,45.88235
"KELDK12","2013_09",43.52941,29.41176,14.11765,0,0,0,0,0
"KELDK13","2012_11",39.17647,0,3.294118,0,0,0,17.64706,18.23529
"KELDK13","2012_12",14.82353,0,0,0,0,0,3.529412,11.29412
"KELDK13","2013_01",50,0,8.82353,0,0,1.176471,32.94118,7.058824
"KELDK13","2013_02",44,0,0,0,0,0,0,44
"KELDK13","2013_03",41.76471,0,0,0,0,23.52941,8.235294,10
"KELDK13","2013_04",45.64706,0,0,0,0,0,2.352941,43.29412
"KELDK13","2013_05",64.5294,0,0,0,0,0,0,64.5294
"KELDK13","2013_06",-31.94118,0,0,0,0,0,0,-31.94118
"KELDK13","2013_07",75.29411,0,0,0,0,0,0,75.29411
"KELDK13","2013_08",28.82353,0,6.470589,0,0,0,1.294118,21.05882
"KELDK13","2013_09",27.82353,-6.529412,24.70588,0,0,0,0,9.647059
"KELDK13","2013_10",-7.999999,0,5.882353,0,0,0,0,-13.88235
"KELDK14","2012_11",21.76471,15.88235,0,0,0,0,5.882353,0
"KELDK14","2012_12",4.941176,4.941176,0,0,0,0,0,0
"KELDK14","2013_01",26.35294,18.11765,0,0,0,8.235294,0,0
"KELDK14","2013_02",39.76471,19.76471,17.64706,0,0,2.352941,0,0
"KELDK14","2013_03",60,24.70588,35.29412,0,0,0,0,0
"KELDK14","2013_04",68.70588,44,24.70588,0,0,0,0,0
"KELDK14","2013_05",65.52941,44.94118,20.58824,0,0,0,0,0
"KELDK14","2013_06",105.1765,35.76471,45.88235,0,0,0,23.52941,0
"KELDK14","2013_07",68.70589,29.88235,38.82353,0,0,0,0,0
"KELDK14","2013_08",43.05883,5.411765,28.23529,0,0,0,9.411765,0
"KELDK14","2013_09",97.64706,27.05882,70.58823,0,0,0,0,0
"KELDK14","2013_10",14.11765,0,14.11765,0,0,0,0,0
"KELDK15","2012_11",107.3529,0,94.41177,0,0,0,37.64706,-24.70588
"KELDK15","2012_12",84.11765,84.11765,0,0,0,0,0,0
"KELDK15","2013_01",-26.47058,31.76471,83.52941,0,0,0,7.647059,-149.4118
"KELDK15","2013_02",804.7059,738.8235,117.6471,0,0,0,0,-51.76471
