hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KVIHK13","60134398683400000","2012_10",1.411765,0,0,0,0,0,1.411765,0
"KVIHK13","60134398683400000","2012_11",5.294118,0,5.294118,0,0,0,0,0
"KVIHK13","60134398683400000","2012_12",47.64706,0,47.64706,0,0,0,0,0
"KVIHK13","60134398683400000","2013_01",42.35294,0,42.35294,0,0,0,0,0
"KVIHK13","60134398683400000","2013_02",18.82353,0,18.82353,0,0,0,0,0
"KVIHK13","60134398683400000","2013_03",10.58824,0,10.58824,0,0,0,0,0
"KVIHK13","60134398683400000","2013_04",15.29412,0,15.29412,0,0,0,0,0
"KVIHK13","60134398683400000","2013_06",37.05882,0,37.05882,0,0,0,0,0
"KVIHK13","60134398683400000","2013_07",23.52941,0,23.52941,0,0,0,0,0
"KVIHK13","60134398683400000","2013_08",29.41176,0,29.41176,0,0,0,0,0
"KVIHK13","60134398683400000","2013_09",2.352941,0,2.352941,0,0,0,0,0
"KVIHK13","60134399003700000","2013_02",2.352941,2.352941,0,0,0,0,0,0
"KVIHK13","60134399137700000","2012_10",2.352941,0,0,0,0,0,2.352941,0
"KVIHK13","60134399137700000","2012_12",14.11765,0,14.11765,0,0,0,0,0
"KVIHK13","60134399137700000","2013_01",7.058824,0,4.941176,0,0,0,2.117647,0
"KVIHK13","60134399137700000","2013_02",6.470588,0,4.588235,0,0,0,1.882353,0
"KVIHK13","60134399137700000","2013_03",6.117647,0,3.058824,0,0,0,3.058824,0
"KVIHK13","60134399137700000","2013_04",10.58824,0,10.58824,0,0,0,0,0
"KVIHK13","60134399137700000","2013_05",24.94118,0,24.94118,0,0,0,0,0
"KVIHK13","60134399137700000","2013_06",3.941176,0,3.941176,0,0,0,0,0
"KVIHK13","60134399137700000","2013_07",4.705883,0,4.705883,0,0,0,0,0
"KVIHK13","60134399137700000","2013_08",2.352941,0,2.352941,0,0,0,0,0
