hh_ids,trx_yr_mo,inc_hh_byti,con_pur_hh_byti,con_prod_hh_byti,dem_urban,dem_hh_size,dem_pae_oecd,dem_pae_kihbs,con_hh_byti,inc_hh_byti_pae_oecd,con_hh_byti_pae_oecd,inc_hh_byti_pae_kihbs,con_hh_byti_pae_kihbs,inc_below_1_usd_oecd,con_below_1_usd_oecd,inc_below_1_usd_kihbs,con_below_1_usd_kihbs,inc_below_2_usd_oecd,con_below_2_usd_oecd,inc_below_2_usd_kihbs,con_below_2_usd_kihbs,inc_below_5_usd_oecd,con_below_5_usd_oecd,inc_below_5_usd_kihbs,con_below_5_usd_kihbs
"KELDK12","2013_01",53.64706,15.17647,17.51261,0,4,2.7,2.89,32.68908,.6514518,.396953,.6086228,.3708557,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_02",32.94118,65.05882,0,0,4,2.7,2.89,65.05882,.4000143,.7900282,.3737158,.7380886,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_03",40.70589,10.23529,0,0,4,2.7,2.89,10.23529,.4943034,.1242902,.4618059,.1161188,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_04",17.64706,35.23529,36.41176,0,4,2.7,2.89,71.64706,.2142934,.8700311,.2002049,.8128318,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_05",58.82353,30.64706,43.40336,0,4,2.7,2.89,74.05042,.7143112,.8992158,.6673496,.8400978,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_06",-143.5294,45.23529,26.89076,0,4,2.7,2.89,72.12605,-1.742919,.8758476,-1.628333,.8182659,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_07",142.8235,35.64706,31.29412,0,4,2.7,2.89,66.94118,1.734348,.8128862,1.620325,.7594438,0,1,0,1,1,1,1,1,1,1,1,1
"KELDK12","2013_08",78.82353,31.52941,26.57143,0,4,2.7,2.89,58.10084,.957177,.7055354,.8942484,.6591507,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2013_09",43.52941,16.11765,26.01681,0,4,2.7,2.89,42.13445,.5285903,.5116509,.4938387,.4780129,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2012_11",39.17647,23.64706,4.929972,0,4,2.5,2.54,28.57703,.5137898,.3747807,.5056986,.3688787,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2012_12",14.82353,19.17647,0,0,4,2.5,2.54,19.17647,.1944069,.2514947,.1913454,.2475342,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_01",50,53.82353,0,0,4,2.5,2.54,53.82353,.6557377,.7058824,.6454111,.6947662,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_02",44,47.76471,0,0,4,2.5,2.54,47.76471,.5770492,.6264223,.5679618,.6165575,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_03",41.76471,49.11765,0,0,4,2.5,2.54,49.11765,.5477338,.6441659,.5391081,.6340216,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_04",45.64706,60.47059,0,0,4,2.5,2.54,60.47059,.59865,.7930569,.5892224,.7805678,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_05",64.5294,51.88235,0,0,4,2.5,2.54,51.88235,.8462873,.6804243,.8329599,.669709,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_06",-31.94118,54.23529,0,0,4,2.5,2.54,54.23529,-.4189007,.7112826,-.4123039,.7000813,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_07",75.29411,37.41177,0,0,4,2.5,2.54,37.41177,.9874638,.4906461,.9719132,.4829194,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_08",28.82353,55.47059,0,0,4,2.5,2.54,55.47059,.3780135,.7274832,.3720605,.7160267,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_09",27.82353,39.29412,14.82353,0,4,2.5,2.54,54.11765,.3648988,.7097396,.3591523,.6985626,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK13","2013_10",-7.999999,7.882353,0,0,4,2.5,2.54,7.882353,-.104918,.1033751,-.1032658,.1017472,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2012_11",21.76471,26.70588,35.51541,0,4,2.9,3.24,62.22129,.2460679,.7034628,.220246,.6296427,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2012_12",4.941176,13.47059,0,0,4,2.9,3.24,13.47059,.0558641,.1522961,.0500018,.1363144,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_01",26.35294,18.70588,16.7479,0,4,2.9,3.24,35.45378,.2979417,.4008341,.2666762,.3587713,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_02",39.76471,48.41177,.5770308,0,4,2.9,3.24,48.9888,.4495727,.5538586,.4023953,.4957377,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_03",60,37.64706,0,0,4,2.9,3.24,37.64706,.6783493,.425631,.6071646,.380966,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_04",68.70588,51.23529,16.73684,0,4,2.9,3.24,67.97214,.7767764,.7684809,.6952629,.6878378,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_05",65.52941,130.9412,8.170721,0,4,2.9,3.24,139.1119,.7408639,1.572774,.6631189,1.40773,1,0,1,0,1,1,1,1,1,1,1,1
"KELDK14","2013_06",105.1765,87.17648,24.5042,0,4,2.9,3.24,111.6807,1.189106,1.262642,1.064324,1.130142,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK14","2013_07",68.70589,65.41177,3.529412,0,4,2.9,3.24,68.94118,.7767766,.7794367,.695263,.697644,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_08",43.05883,74.47059,7.176471,0,4,2.9,3.24,81.64706,.4868154,.9230871,.4357299,.82622,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_09",97.64706,62.82353,18,0,4,2.9,3.24,80.82353,1.10398,.9137765,.9881305,.8178864,0,1,1,1,1,1,1,1,1,1,1,1
"KELDK14","2013_10",14.11765,46.58823,0,0,4,2.9,3.24,46.58823,.1596116,.5267183,.1428622,.4714454,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK15","2012_11",107.3529,36,37.60224,0,5,3.4,3.89,73.60224,1.035226,.7097612,.9048248,.6203569,0,1,1,1,1,1,1,1,1,1,1,1
"KELDK15","2012_12",84.11765,311.8824,0,0,5,3.4,3.89,311.8824,.8111635,3.007544,.708986,2.628702,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK15","2013_01",-26.47058,278.2353,39.47339,0,5,3.4,3.89,317.7087,-.2552612,3.063729,-.2231075,2.677809,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK15","2013_02",804.7059,125.4118,0,0,5,3.4,3.89,125.4118,7.759941,1.209371,6.782467,1.057034,0,0,0,0,0,1,0,1,0,1,0,1
"KELDK15","2013_03",499.4117,542.5294,0,0,5,3.4,3.89,542.5294,4.815928,5.23172,4.209294,4.572712,0,0,0,0,0,0,0,0,1,0,1,1
"KELDK15","2013_04",329.6235,477,0,0,5,3.4,3.89,477,3.178626,4.599807,2.778234,4.020397,0,0,0,0,0,0,0,0,1,1,1,1
"KELDK15","2013_05",217.7647,144.0588,.6138108,0,5,3.4,3.89,144.6726,2.099949,1.395107,1.835431,1.219374,0,0,0,0,0,1,1,1,1,1,1,1
"KELDK15","2013_06",556.1176,208.9412,.797954,0,5,3.4,3.89,209.7391,5.362754,2.022557,4.68724,1.767787,0,0,0,0,0,0,0,1,0,1,1,1
"KELDK15","2013_07",39.41176,190.2353,32.21176,0,5,3.4,3.89,222.4471,.3800555,2.145102,.3321822,1.874896,1,0,1,0,1,0,1,1,1,1,1,1
"KELDK15","2013_08",398.3765,100.8235,11.43529,0,5,3.4,3.89,112.2588,3.841624,1.082534,3.357718,.9461741,0,0,0,1,0,1,0,1,1,1,1,1
"KELDK15","2013_09",-1376.471,86.11765,11.76471,0,5,3.4,3.89,97.88236,-13.27358,.9438993,-11.60159,.825002,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2012_10",37.64706,26,39.36975,0,5,3.2,3.13,65.36975,.3857281,.669772,.3943546,.6847509,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2012_11",5.647059,16.82353,0,0,5,3.2,3.13,16.82353,.0578592,.1723722,.0591532,.1762272,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2012_12",20.82353,26.35294,24.00477,0,5,3.2,3.13,50.35771,.2133558,.5159602,.2181274,.5274992,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_01",16.47059,21.11765,13.58347,0,5,3.2,3.13,34.70111,.168756,.3555442,.1725301,.3634956,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_02",41.17647,22,0,0,5,3.2,3.13,22,.4218901,.2254098,.4313253,.2304509,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_03",117.6471,87.05882,0,0,5,3.2,3.13,87.05882,1.2054,.8919961,1.232358,.9119449,0,1,0,1,1,1,1,1,1,1,1,1
"KELDK16","2013_04",25.88235,74.29412,.6352941,0,5,3.2,3.13,74.92941,.265188,.7677194,.2711188,.7848888,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_05",200.5882,60.64706,8.496732,0,5,3.2,3.13,69.14379,2.055207,.7084405,2.10117,.7242842,0,1,0,1,0,1,0,1,1,1,1,1
"KELDK16","2013_06",57.05883,85.76471,5.620915,0,5,3.2,3.13,91.38563,.5846191,.9363281,.5976936,.9572684,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_07",68.82353,74.05882,7.294118,0,5,3.2,3.13,81.35294,.7051591,.8335342,.7209294,.8521756,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_08",35.88235,44.64706,7.294118,0,5,3.2,3.13,51.94118,.3676471,.5321842,.3758692,.544086,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK16","2013_09",20,13.88235,1.176471,0,5,3.2,3.13,15.05882,.204918,.1542912,.2095008,.1577418,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2012_11",120,108,101.2885,0,9,5.6,7.25,209.2885,.7025761,1.225343,.5426795,.9464715,1,0,1,1,1,1,1,1,1,1,1,1
"KELDK17","2012_12",89.41177,197.7647,0,0,9,5.6,7.25,197.7647,.5234881,1.157873,.4043494,.8943571,1,0,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_01",130.5882,280.0588,20.96359,0,9,5.6,7.25,301.0224,.7645681,1.762426,.5905629,1.361323,1,0,1,0,1,1,1,1,1,1,1,1
"KELDK17","2013_02",58.82353,19.41176,0,0,9,5.6,7.25,19.41176,.3444001,.113652,.2660194,.0877864,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_03",43.58823,72.47059,0,0,9,5.6,7.25,72.47059,.2552004,.4243009,.1971203,.3277358,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_04",104.8823,82.76471,0,0,9,5.6,7.25,82.76471,.6140653,.4845709,.4743125,.3742892,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_05",96.94118,62.58824,1.983193,0,9,5.6,7.25,64.57143,.5675713,.3780529,.4383999,.2920133,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_06",150.4941,144.0588,3.663866,0,9,5.6,7.25,147.7227,.8811131,.8648869,.6805839,.6680506,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_07",138.2353,74.35294,0,0,9,5.6,7.25,74.35294,.8093401,.4353217,.6251454,.3362485,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_08",64.70589,46.29412,.1307189,0,9,5.6,7.25,46.42484,.3788401,.2718082,.2926213,.2099484,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK17","2013_09",70,70.05882,2.222222,0,9,5.6,7.25,72.28104,.4098361,.4231911,.316563,.3268787,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK18","2012_11",177.5294,110.8235,80.78431,0,6,4.5,6,191.6078,1.293475,1.39605,.9701061,1.047037,0,0,1,0,1,1,1,1,1,1,1,1
"KELDK18","2012_12",206.3529,286,0,0,6,4.5,6,286,1.503482,2.083789,1.127612,1.562842,0,0,0,0,1,0,1,1,1,1,1,1
"KELDK18","2013_01",373.1176,512.4117,40.36134,0,6,4.5,6,552.7731,2.718526,4.027491,2.038894,3.020618,0,0,0,0,0,0,0,0,1,1,1,1
"KELDK18","2013_02",122.353,42.94118,0,0,6,4.5,6,42.94118,.8914606,.3128683,.6685954,.2346512,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK18","2013_03",741.1765,49.52941,0,0,6,4.5,6,49.52941,5.400193,.36087,4.050145,.2706525,0,1,0,1,0,1,0,1,0,1,1,1
"KELDK18","2013_04",37.64707,66.70589,33.26471,0,6,4.5,6,99.9706,.2742956,.7283832,.2057217,.5462874,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK18","2013_05",157.647,341.1765,47.96218,0,6,4.5,6,389.1387,1.148612,2.835254,.8614593,2.126441,0,0,1,0,1,0,1,0,1,1,1,1
"KELDK18","2013_06",167.0588,64.88235,51.32773,0,6,4.5,6,116.2101,1.217186,.8467037,.9128898,.6350278,0,1,1,1,1,1,1,1,1,1,1,1
"KELDK18","2013_07",134.1177,61.17647,30.15126,0,6,4.5,6,91.32774,.9771779,.6654115,.7328834,.4990587,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK18","2013_08",529.1765,71.17648,0,0,6,4.5,6,71.17648,3.855566,.51859,2.891675,.3889425,0,1,0,1,0,1,0,1,1,1,1,1
"KELDK18","2013_09",143.5294,60.11765,0,0,6,4.5,6,60.11765,1.045752,.4380156,.7843139,.3285117,0,1,1,1,1,1,1,1,1,1,1,1
"KELDK19","2012_10",462.9412,105.6471,42.21429,0,7,4.4,5.19,147.8613,3.449636,1.101798,2.924547,.9340873,0,0,0,1,0,1,0,1,1,1,1,1
