hh_ids,trx_yr_mo,rem_hh_count_byti,rem_hh_abs_byti,rem_hh_net_byti,rem_hh_count_byti_RG,rem_hh_abs_byti_RG,rem_hh_count_byti_RR,rem_hh_abs_byti_RR,rem_hh_count_byti_cash,rem_hh_abs_byti_cash,rem_hh_net_byti_cash,rem_hh_count_byti_inkind,rem_hh_abs_byti_inkind,rem_hh_net_byti_inkind,rem_hh_count_byti_mm,rem_hh_abs_byti_mm,rem_hh_net_byti_mm,rem_hh_count_byti_other,rem_hh_abs_byti_other,rem_hh_net_byti_other
"KELDS10","2013_05",22,24.70588,-24.70588,22,24.70588,0,0,0,0,0,22,24.70588,-24.70588,0,0,0,0,0,0
"KELDS10","2013_06",2,3.529412,1.176471,1,1.176471,1,2.352941,2,3.529412,1.176471,0,0,0,0,0,0,0,0,0
"KELDS11","2012_10",2,67.05882,67.05882,0,0,2,67.05882,1,17.64706,17.64706,1,49.41177,49.41177,0,0,0,0,0,0
"KELDS11","2012_12",3,35.29412,35.29412,0,0,3,35.29412,3,35.29412,35.29412,0,0,0,0,0,0,0,0,0
"KELDS11","2013_01",1,17.64706,17.64706,0,0,1,17.64706,1,17.64706,17.64706,0,0,0,0,0,0,0,0,0
"KELDS12","2012_12",2,20,-20,2,20,0,0,1,11.76471,-11.76471,1,8.235294,-8.235294,0,0,0,0,0,0
"KELDS12","2013_04",1,4.705883,-4.705883,1,4.705883,0,0,1,4.705883,-4.705883,0,0,0,0,0,0,0,0,0
"KELDS12","2013_05",3,4.941177,-4.470588,1,4.705883,2,.2352941,1,4.705883,-4.705883,2,.2352941,.2352941,0,0,0,0,0,0
"KELDS12","2013_06",9,7.529412,-6.588235,2,7.058824,7,.4705882,2,7.058824,-7.058824,7,.4705882,.4705882,0,0,0,0,0,0
"KELDS12","2013_07",5,.4705882,.4705882,0,0,5,.4705882,0,0,0,5,.4705882,.4705882,0,0,0,0,0,0
"KELDS12","2013_08",6,9.294118,-8.352942,2,8.823529,4,.4705882,1,7.058824,-7.058824,5,2.235294,-1.294118,0,0,0,0,0,0
"KELDS12","2013_09",1,.1176471,.1176471,0,0,1,.1176471,0,0,0,1,.1176471,.1176471,0,0,0,0,0,0
"KELDS14","2012_10",4,30.57647,18.81176,1,5.882353,3,24.69412,1,5.882353,-5.882353,1,1.164706,1.164706,2,23.52941,23.52941,0,0,0
"KELDS14","2012_11",1,23.82353,23.82353,0,0,1,23.82353,0,0,0,0,0,0,1,23.82353,23.82353,0,0,0
"KELDS14","2013_01",1,5.882353,5.882353,0,0,1,5.882353,1,5.882353,5.882353,0,0,0,0,0,0,0,0,0
"KELDS14","2013_03",10,71.6,71.6,0,0,10,71.6,9,23.76471,23.76471,0,0,0,1,47.83529,47.83529,0,0,0
"KELDS14","2013_05",19,68.23529,9.411766,1,29.41176,18,38.82353,19,68.23529,9.411766,0,0,0,0,0,0,0,0,0
"KELDS14","2013_06",29,64.52941,57.47059,1,3.529412,28,61,3,7.058824,0,26,57.47059,57.47059,0,0,0,0,0,0
"KELDS14","2013_07",26,68.2353,68.2353,0,0,26,68.2353,26,68.2353,68.2353,0,0,0,0,0,0,0,0,0
"KELDS14","2013_08",23,54.11765,40,1,7.058824,22,47.05883,23,54.11765,40,0,0,0,0,0,0,0,0,0
"KELDS14","2013_09",16,25.29412,25.29412,0,0,16,25.29412,16,25.29412,25.29412,0,0,0,0,0,0,0,0,0
"KELDS15","2012_11",2,76.47059,-76.47059,2,76.47059,0,0,2,76.47059,-76.47059,0,0,0,0,0,0,0,0,0
"KELDS15","2012_12",5,170.5882,-170.5882,5,170.5882,0,0,5,170.5882,-170.5882,0,0,0,0,0,0,0,0,0
"KELDS15","2013_01",6,325.8824,-325.8824,6,325.8824,0,0,6,325.8824,-325.8824,0,0,0,0,0,0,0,0,0
"KELDS15","2013_04",1,35.29412,-35.29412,1,35.29412,0,0,1,35.29412,-35.29412,0,0,0,0,0,0,0,0,0
"KELDS15","2013_06",2,115.2941,-115.2941,2,115.2941,0,0,0,0,0,2,115.2941,-115.2941,0,0,0,0,0,0
"KELDS16","2012_10",1,118.8235,118.8235,0,0,1,118.8235,0,0,0,0,0,0,1,118.8235,118.8235,0,0,0
"KELDS16","2012_11",1,17.94118,17.94118,0,0,1,17.94118,0,0,0,0,0,0,1,17.94118,17.94118,0,0,0
"KELDS16","2012_12",2,37.64706,37.64706,0,0,2,37.64706,0,0,0,0,0,0,2,37.64706,37.64706,0,0,0
"KELDS16","2013_01",1,8.235294,8.235294,0,0,1,8.235294,0,0,0,0,0,0,1,8.235294,8.235294,0,0,0
"KELDS16","2013_02",1,7.647059,7.647059,0,0,1,7.647059,0,0,0,0,0,0,1,7.647059,7.647059,0,0,0
"KELDS16","2013_03",2,20.31765,20.31765,0,0,2,20.31765,0,0,0,0,0,0,2,20.31765,20.31765,0,0,0
"KELDS16","2013_04",1,23.84706,23.84706,0,0,1,23.84706,0,0,0,0,0,0,1,23.84706,23.84706,0,0,0
"KELDS16","2013_05",1,12.08235,12.08235,0,0,1,12.08235,0,0,0,0,0,0,1,12.08235,12.08235,0,0,0
"KELDS17","2013_01",1,4.705883,4.705883,0,0,1,4.705883,0,0,0,0,0,0,1,4.705883,4.705883,0,0,0
"KELDS17","2013_04",2,36.47059,36.47059,0,0,2,36.47059,2,36.47059,36.47059,0,0,0,0,0,0,0,0,0
"KELDS17","2013_05",2,77.24706,77.24706,0,0,2,77.24706,1,29.41176,29.41176,0,0,0,1,47.83529,47.83529,0,0,0
"KELDS17","2013_06",2,32.08235,32.08235,0,0,2,32.08235,1,17.64706,17.64706,0,0,0,1,14.43529,14.43529,0,0,0
"KELDS17","2013_07",2,23.52941,23.52941,0,0,2,23.52941,2,23.52941,23.52941,0,0,0,0,0,0,0,0,0
"KELDS17","2013_08",2,23.52941,23.52941,0,0,2,23.52941,2,23.52941,23.52941,0,0,0,0,0,0,0,0,0
"KELDS17","2013_09",1,5.882353,5.882353,0,0,1,5.882353,1,5.882353,5.882353,0,0,0,0,0,0,0,0,0
"KELDS18","2012_10",1,47.05882,47.05882,0,0,1,47.05882,0,0,0,0,0,0,1,47.05882,47.05882,0,0,0
"KELDS18","2012_11",1,17.64706,17.64706,0,0,1,17.64706,0,0,0,0,0,0,1,17.64706,17.64706,0,0,0
"KELDS18","2012_12",3,63.52941,63.52941,0,0,3,63.52941,1,29.41176,29.41176,1,4.705883,4.705883,1,29.41176,29.41176,0,0,0
"KELDS18","2013_01",1,28.23529,28.23529,0,0,1,28.23529,0,0,0,0,0,0,1,28.23529,28.23529,0,0,0
"KELDS18","2013_02",2,47.05882,47.05882,0,0,2,47.05882,0,0,0,0,0,0,2,47.05882,47.05882,0,0,0
"KELDS18","2013_04",1,29.72941,29.72941,0,0,1,29.72941,0,0,0,0,0,0,1,29.72941,29.72941,0,0,0
"KELDS18","2013_05",3,45.34118,45.34118,0,0,3,45.34118,1,3.529412,3.529412,0,0,0,2,41.81177,41.81177,0,0,0
"KELDS18","2013_06",4,55.90588,52.96471,1,1.470588,3,54.4353,2,30.88235,27.94118,1,1.176471,1.176471,1,23.84706,23.84706,0,0,0
"KELDS18","2013_07",3,112.0824,112.0824,0,0,3,112.0824,2,64.70588,64.70588,0,0,0,1,47.37647,47.37647,0,0,0
"KELDS18","2013_08",8,51.17647,51.17647,0,0,8,51.17647,5,24.70588,24.70588,2,2.941176,2.941176,1,23.52941,23.52941,0,0,0
"KELDS18","2013_09",40,159.2,95.03529,4,32.08235,36,127.1176,32,85.58824,53.82353,6,57.41176,57.41176,2,16.2,-16.2,0,0,0
"KELDS18","2013_10",3,15.05882,15.05882,0,0,3,15.05882,3,15.05882,15.05882,0,0,0,0,0,0,0,0,0
"KELDS20","2012_12",1,23.52941,23.52941,0,0,1,23.52941,1,23.52941,23.52941,0,0,0,0,0,0,0,0,0
"KELDS20","2013_04",2,64.70588,64.70588,0,0,2,64.70588,1,17.64706,17.64706,1,47.05882,47.05882,0,0,0,0,0,0
"KELDS20","2013_05",1,17.64706,17.64706,0,0,1,17.64706,1,17.64706,17.64706,0,0,0,0,0,0,0,0,0
"KELDS20","2013_06",1,1.764706,1.764706,0,0,1,1.764706,0,0,0,1,1.764706,1.764706,0,0,0,0,0,0
"KELDS20","2013_07",14,3.294118,3.294118,0,0,14,3.294118,0,0,0,14,3.294118,3.294118,0,0,0,0,0,0
"KELDS23","2013_01",21,84.70589,80,1,2.352941,20,82.35294,1,2.352941,-2.352941,20,82.35294,82.35294,0,0,0,0,0,0
"KELDS23","2013_02",27,130.5882,83.52942,1,23.52941,26,107.0588,1,23.52941,-23.52941,26,107.0588,107.0588,0,0,0,0,0,0
"KELDS23","2013_03",22,90.58824,90.58824,0,0,22,90.58824,0,0,0,22,90.58824,90.58824,0,0,0,0,0,0
"KELDS23","2013_07",1,5.882353,5.882353,0,0,1,5.882353,1,5.882353,5.882353,0,0,0,0,0,0,0,0,0
"KELDS24","2013_02",4,64.47059,64.47059,0,0,4,64.47059,0,0,0,3,56.23529,56.23529,1,8.235294,8.235294,0,0,0
"KELDS24","2013_03",11,75.88235,75.88235,0,0,11,75.88235,3,31.76471,31.76471,8,44.11765,44.11765,0,0,0,0,0,0
"KELDS24","2013_04",2,23.84706,23.84706,0,0,2,23.84706,1,11.76471,11.76471,0,0,0,1,12.08235,12.08235,0,0,0
"KELDS24","2013_05",1,2.352941,2.352941,0,0,1,2.352941,1,2.352941,2.352941,0,0,0,0,0,0,0,0,0
"KELDS24","2013_06",13,2.823529,2.823529,0,0,13,2.823529,0,0,0,13,2.823529,2.823529,0,0,0,0,0,0
"KELDS24","2013_07",4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
"KELDS26","2013_06",1,47.83529,47.83529,0,0,1,47.83529,0,0,0,0,0,0,1,47.83529,47.83529,0,0,0
"KELDS27","2013_02",1,.4705882,.4705882,0,0,1,.4705882,0,0,0,1,.4705882,.4705882,0,0,0,0,0,0
"KELDS27","2013_03",1,.4117647,.4117647,0,0,1,.4117647,0,0,0,1,.4117647,.4117647,0,0,0,0,0,0
"KELDS27","2013_05",1,.9411765,.9411765,0,0,1,.9411765,0,0,0,1,.9411765,.9411765,0,0,0,0,0,0
"KELDS28","2013_02",1,5.882353,5.882353,0,0,1,5.882353,1,5.882353,5.882353,0,0,0,0,0,0,0,0,0
"KELDS28","2013_03",7,42.92941,42.92941,0,0,7,42.92941,1,5.882353,5.882353,5,1.176471,1.176471,1,35.87059,35.87059,0,0,0
"KELDS28","2013_04",5,33.88235,33.88235,0,0,5,33.88235,1,32.94118,32.94118,4,.9411765,.9411765,0,0,0,0,0,0
"KELDS28","2013_05",7,30.90588,30.90588,0,0,7,30.90588,1,17.64706,17.64706,5,1.176471,1.176471,1,12.08235,12.08235,0,0,0
"KELDS28","2013_06",5,10.82353,10.82353,0,0,5,10.82353,0,0,0,5,10.82353,10.82353,0,0,0,0,0,0
"KELDS28","2013_07",5,6,6,0,0,5,6,1,5.882353,5.882353,4,.1176471,.1176471,0,0,0,0,0,0
"KELDS28","2013_09",2,11.76471,11.76471,0,0,2,11.76471,2,11.76471,11.76471,0,0,0,0,0,0,0,0,0
"KMAKE01","2012_10",2,39.41177,39.41177,0,0,2,39.41177,0,0,0,0,0,0,2,39.41177,39.41177,0,0,0
"KMAKE01","2012_11",5,24.82353,24.82353,0,0,5,24.82353,0,0,0,0,0,0,2,24.11765,24.11765,3,.7058824,.7058824
"KMAKE01","2012_12",2,40,40,0,0,2,40,1,23.52941,23.52941,1,16.47059,16.47059,0,0,0,0,0,0
"KMAKE01","2013_01",1,6.176471,6.176471,0,0,1,6.176471,0,0,0,0,0,0,1,6.176471,6.176471,0,0,0
"KMAKE01","2013_02",5,31.58824,31.58824,0,0,5,31.58824,0,0,0,2,7.176471,7.176471,3,24.41177,24.41177,0,0,0
"KMAKE01","2013_03",5,22.70588,22.70588,0,0,5,22.70588,0,0,0,3,10.23529,10.23529,2,12.47059,12.47059,0,0,0
"KMAKE01","2013_04",3,26.23529,26.23529,0,0,3,26.23529,1,11.76471,11.76471,1,8.235294,8.235294,1,6.235294,6.235294,0,0,0
"KMAKE01","2013_05",5,43.34118,43.34118,0,0,5,43.34118,0,0,0,1,8.235294,8.235294,3,33.92941,33.92941,1,1.176471,1.176471
"KMAKE01","2013_06",11,63.69412,58.98824,1,2.352941,10,61.34118,2,14.43529,9.729411,0,0,0,6,47.96471,47.96471,3,1.294118,1.294118
"KMAKE01","2013_07",4,21.05882,16.35294,1,2.352941,3,18.70588,1,2.352941,-2.352941,0,0,0,3,18.70588,18.70588,0,0,0
"KMAKE01","2013_08",5,54.47059,54.47059,0,0,5,54.47059,2,29.41176,29.41176,2,18.82353,18.82353,1,6.235294,6.235294,0,0,0
"KMAKE01","2013_09",1,6.2,6.2,0,0,1,6.2,0,0,0,0,0,0,1,6.2,6.2,0,0,0
"KMAKE03","2012_12",5,38.82353,38.82353,0,0,5,38.82353,1,11.76471,11.76471,0,0,0,4,27.05882,27.05882,0,0,0
"KMAKE03","2013_01",1,4.705883,4.705883,0,0,1,4.705883,1,4.705883,4.705883,0,0,0,0,0,0,0,0,0
"KMAKE03","2013_02",3,57.41176,-1.411764,1,29.41176,2,28,2,31.76471,-27.05882,1,25.64706,25.64706,0,0,0,0,0,0
"KMAKE03","2013_03",5,53.14117,53.14117,0,0,5,53.14117,1,10.58823,10.58823,0,0,0,4,42.55294,42.55294,0,0,0
"KMAKE03","2013_04",2,3.882353,1.529412,1,1.176471,1,2.705882,1,1.176471,-1.176471,0,0,0,1,2.705882,2.705882,0,0,0
"KMAKE03","2013_05",3,28.47059,28.47059,0,0,3,28.47059,0,0,0,1,17.64706,17.64706,1,10.23529,10.23529,1,.5882353,.5882353
"KMAKE03","2013_06",4,44.11765,44.11765,0,0,4,44.11765,0,0,0,1,1.294118,1.294118,2,41.88235,41.88235,1,.9411765,.9411765
"KMAKE03","2013_07",7,65.45882,65.45882,0,0,7,65.45882,0,0,0,1,.5882353,.5882353,5,64.28236,64.28236,1,.5882353,.5882353
"KMAKE03","2013_08",3,30.70588,30.70588,0,0,3,30.70588,0,0,0,0,0,0,3,30.70588,30.70588,0,0,0
"KMAKE03","2013_09",1,26.2,26.2,0,0,1,26.2,0,0,0,0,0,0,1,26.2,26.2,0,0,0
"KMAKE05","2012_11",2,28.82353,28.82353,0,0,2,28.82353,0,0,0,0,0,0,2,28.82353,28.82353,0,0,0
"KMAKE05","2012_12",1,23.52941,23.52941,0,0,1,23.52941,1,23.52941,23.52941,0,0,0,0,0,0,0,0,0
"KMAKE05","2013_01",2,23.52941,11.76471,1,5.882353,1,17.64706,2,23.52941,11.76471,0,0,0,0,0,0,0,0,0
"KMAKE05","2013_02",2,19.14118,16.78824,1,1.176471,1,17.96471,1,1.176471,-1.176471,0,0,0,1,17.96471,17.96471,0,0,0
"KMAKE05","2013_03",4,47.37647,35.61176,1,5.882353,3,41.49412,1,5.882353,-5.882353,2,29.41176,29.41176,1,12.08235,12.08235,0,0,0
"KMAKE05","2013_04",1,23.84706,23.84706,0,0,1,23.84706,0,0,0,0,0,0,1,23.84706,23.84706,0,0,0
